fbi.org

29	15	11	57	11
85	68	92	15	35
45	78	25	75	4
91	17	71	56	28
88	2	28	28	20
36	21	41	84	20
92	40	25	26	95
83	77	100	92	26
53	22	34	20	70
21	75	38	11	53
22	43	31	1	98
35	29	13	9	47
63	33	20	50	51
76	81	44	57	26
15	8	100	65	54
19	100	77	80	58
11	67	25	92	99
91	29	19	72	48
73	32	68	6	83
19	15	1	91	37
83	75	2	38	7
48	58	56	20	10
54	15	61	70	36
44	74	95	41	83
40	96	57	18	71
71	89	37	53	18
8	8	99	100	73
55	9	74	76	54
65	17	60	34	94
28	23	84	6	70
27	6	33	56	89
35	89	88	42	93
40	32	56	53	92
43	73	91	82	93
65	2	72	95	94
69	72	75	94	69
88	27	99	6	17
63	41	49	85	94
65	77	23	98	81
44	87	33	31	80
Timestamp: 2017-09-11 19:24:31 UTC
